code,full_name,name
AN,澳大利亚安塞特航空公司,澳大利亚安塞特航空
AR,阿根廷航空公司,阿根廷航空
AS,阿拉斯加航空公司（美国）,阿拉斯加航空
AT,摩洛哥王家航空运输公司,摩洛哥王家航空
AU,奥斯特拉尔航空公司,奥斯特拉尔航空
AW,尼日尔航空公司,尼日尔航空
AY,芬兰航空公司,芬兰航空
AZ,意大利航空公司,意大利航空
B2,白令航空公司,白令航空
B7,立荣航空公司,立荣航空
BA,英国航空公司,英国航空
BB,巴尔航空公司（瑞士）,巴尔航空
BD,英伦航空公司,英伦航空
BG,孟加拉航空公司,孟加拉航空
BI,文莱皇家航空公司,文莱皇家航空
BL,太平洋航空公司,太平洋航空
BO,印翔航空公司,印翔航空
BP,博茨瓦纳航空公司,博茨瓦纳航空
BR,长荣航空股份有限公司(台湾）,长荣航空
BU,布拉森斯南美远东,布拉森斯南美远东
BV,博普航空公司,博普航空
BW,加勒比海航空公司,加勒比海航空公司
CD,韩国航空公司,韩国航空
CF,福塞特航空公司（秘鲁）,福塞特航空
CI,中华航空公司(中国台湾),中华航空
CJ,中国北方航空公司,中国北方航空
CK,冈比亚航空公司,冈比亚航空
CL,卡皮托尔航空公司（美国）,卡皮托尔航空
CM,巴拿马航空公司,巴拿马航空
CO,大陆航空公司（美国）,大陆航空
CP,加拿大国际航空有限公司,加拿大国际航空
CT,索菲亚航空公司,索菲亚航空
CU,古巴航空公司,古巴航空
CV,卢森堡国际货运航空公司,卢森堡货运航空
CX,国泰航空有限公司,国泰航空
CY,塞浦路斯航空有限公司,塞浦路斯航空
DA,丹纳尔航空公司(英),丹纳尔航空
DC,塞浦路斯旅游航空有限公司,塞浦路斯旅游航空
DE,港龙航空公司,港龙航空
DL,达美航空公司（美国）,达美航空
DM,梅尔斯克航空公司(丹麦),梅尔斯克航空
DT,安哥拉航空公司,安哥拉航空
DY,挪威航空公司,挪威航空
E4,亚洲航空公司,亚洲航空
EA,东方航空公司(美国),东方航空-美国
EC,安格洛货运有限公司（英国）,安格洛货运
EF,远东航空公司,远东航空
EG,日本亚洲航空公司,日本亚洲航空
EI,爱尔兰航空公司,爱尔兰航空
EK,阿联酋国际航空公司,阿联酋国际航空
EL,日空航空公司,日空航空
ER,德国敦豪航空公司,德国敦豪
